2020-06-09 08:10:38.117 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.springboot.logger_file.LoggerFileApplicationTests], using SpringBootContextLoader
2020-06-09 08:10:38.125 [main] INFO  org.springframework.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.springboot.logger_file.LoggerFileApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2020-06-09 08:10:38.126 [main] INFO  org.springframework.test.context.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.springboot.logger_file.LoggerFileApplicationTests]: LoggerFileApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2020-06-09 08:10:38.217 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.springboot.logger_file.LoggerFileApplication2 for test class com.springboot.logger_file.LoggerFileApplicationTests
2020-06-09 08:10:38.351 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2020-06-09 08:10:38.362 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@57ea113a, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@acdb094, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@674bd420, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@2b0f373b, org.springframework.test.context.support.DirtiesContextTestExecutionListener@2ceb80a1, org.springframework.test.context.event.EventPublishingTestExecutionListener@4b45dcb8, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@7216fb24, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@2072acb2, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@50ecde95, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@35a9782c, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@70a36a66, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@45815ffc]
2020-06-09 08:10:38.788 [main] INFO  com.springboot.logger_file.LoggerFileApplicationTests - Starting LoggerFileApplicationTests on WIN-QCKJGJA58BC with PID 5956 (started by Administrator in E:\myGitHub\SpringAll\spring-boot-log\logger_filer)
2020-06-09 08:10:38.790 [main] INFO  com.springboot.logger_file.LoggerFileApplicationTests - No active profile set, falling back to default profiles: default
2020-06-09 08:10:39.984 [main] INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-06-09 08:10:40.232 [main] INFO  com.springboot.logger_file.LoggerFileApplicationTests - Started LoggerFileApplicationTests in 1.833 seconds (JVM running for 3.112)
2020-06-09 08:10:40.562 [SpringContextShutdownHook] INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
